"id","title","referenced_id","referenced_class"
500,"bark, cinchona","1211",Heading
501,"bark, for use in perfumery, pharmacy, insecticide, etc","1211",Heading
502,barley,"1003",Heading
503,barley,"1102",Heading
504,barley,"1103",Heading
505,barley,"1104",Heading
506,barographs,"9025",Heading
507,barometers,"9025",Heading
508,"barrels, wood","4416",Heading
509,barretters,"8533",Heading
510,barrier creams,"3304",Heading
511,bars - aluminium,"7604",Heading
512,bars - copper,"7407",Heading
513,bars - iron or steel,"7213",Heading
514,bars - iron or steel,"7221",Heading
515,bars - iron or steel,"7222",Heading
516,bars - iron or steel,"7227",Heading
517,bars - iron or steel,"7228",Heading
518,bars - lead,"7806",Heading
519,bars - magnesium,"8104",Heading
520,bars - nickel,"7505",Heading
521,bars - tin,"8003",Heading
522,bars - zinc,"7904",Heading
523,"basalt, crude","2516",Heading
524,"basalt, fused, articles of","6815",Heading
525,base stations (mobile phones),"8517",Heading
526,basic slag,"3103",Heading
527,basket work,"4602",Heading
528,bassines,"5003",Heading
529,bath salts and other bath preparations,"3307",Heading
530,bathing caps,"6506",Heading
531,bathrobes,"6107",Heading
532,bathrobes,"6108",Heading
533,bathrobes,"6207",Heading
534,bathrobes,"6208",Heading
535,baths of plastics,"3922",Heading
536,baths of iron or steel,"7324",Heading
537,bats (toy),"9503",Heading
538,bats sports,"9506",Heading
539,battenboard,"4412",Heading
540,"batteries, electric, non - rechargeable","8506",Heading
541,waste and scrap batteries,"8548",Heading
542,battery carbons,"8545",Heading
543,battery chargers,"8504",Heading
544,bauxite and concentrates,"2606",Heading
545,"bauxite, activated","3802",Heading
546,"bauxite, calcined (refractory grade)","3824",Heading
547,bay leaves,"0910",Heading
548,bayonets,"9307",Heading
549,beacons (marine),"8907",Heading
550,"beading, wood","4409",Heading
551,"beads, base metal, unstrung","8308",Heading
552,"beads, glass","7018",Heading
553,beans - cocoa,"1801",Heading
554,"beans - field, including horse and tic","0713",Heading
555,"beans - leguminous, edible","07",Chapter
556,"beans - leguminous, for sowing","0713",Heading
557,"beans - locust, whole, kibbled or ground","1212",Heading
558,beans - soya,"1201",Heading
559,bearing housings,"8483",Heading
560,"bearings - ball, roller or needle roller","8482",Heading
561,bearings - plain shaft (not of carbon or graphite),"8483",Heading
562,beauty preparations,"3304",Heading
563,beauvais tapestries,"5805",Heading
564,bed linen,"6302",Heading
565,"bedding, stuffed or sprung, excluding bed linen","9404",Heading
566,beds,"9401",Heading
567,beds,"9402",Heading
568,beds,"9403",Heading
569,bedspreads,"6304",Heading
570,bedsprings (single),"7320",Heading
571,"bedsprings, combination (mattress supports)","9404",Heading
572,bedsteads (metal),"9403",Heading
573,bee-keeping machinery,"8436",Heading
574,beef - corned,"1602",Heading
575,"beef - fresh, chilled or frozen","0201",Heading
576,beef - prepared or preserved,"1602",Heading
577,"beef - salted, in brine, dried or smoked","0210",Heading
578,"beef - tongues, canned, prepared or otherwise preserved","1602",Heading
579,"beer coolers, refrigerated","8418",Heading
580,"beer, malt","2203",Heading
581,"beer-coolers, non-refrigerated","8419",Heading
582,bees,"0106",Heading
583,beeswax,"1521",Heading
584,beet pulp,"2303",Heading
585,beet seeds,"1209",Heading
586,"bell domes, base metal","8306",Heading
587,bellows - musical,"9209",Heading
588,bellows - photographic,"9006",Heading
589,bellows - powder,"8424",Heading
590,bellows - thermostatic (short flexible metal tubing),"8307",Heading
591,"bells, electric","8531",Heading
592,"bells, non-electric base metal","8306",Heading
594,"belts and belting, transmission or conveyor - leather","4205",Heading
595,"belts and belting, transmission or conveyor - plastics","3920",Heading
596,"belts and belting, transmission or conveyor - plastics","3921",Heading
597,"belts and belting, transmission or conveyor - plastics","3926",Heading
598,"belts and belting, transmission or conveyor - rubber and rubber/textile combinations","4010",Heading
599,"belts and belting, transmission or conveyor - textile material (not containing rubber)","5910",Heading
600,benares hemp,"5303",Heading
601,bengal matches,"3604",Heading
602,bentonite,"2508",Heading
603,benzene,"2707",Heading
604,benzene,"2702",Heading
605,benzole,"2707",Heading
606,berets,"6505",Heading
607,"berries, fresh","0810",Heading
608,beryllium,"8112",Heading
609,beta radiation apparatus,"9022",Heading
610,betrons,"8543",Heading
611,"betel nuts, fresh or dried","0802",Heading
612,bib and brace overalls - knitted or crocheted men's or boys,"6103",Heading
613,bib and brace overalls - other than knitted or crocheted men's and boys,"6203",Heading
614,bib and brace overalls -  knitted or crocheted women's or girls,"6104",Heading
615,bib and brace overalls -  other than knitted or crocheted women's or girls,"6204",Heading
616,bib and brace overalls -  bicarbonate of soda (sodium bicarbonate,"2836",Heading
617,bib and brace overalls -  bicarbonate of soda (sodium bicarbonate,"3004",Heading
618,"bicycles, children's","8712",Heading
619,bicycles other,"8712",Heading
620,bidets -  aluminium,"7615",Heading
621,bidets -  ceramic,"6910",Heading
622,bidets -  copper,"7418",Heading
623,bidets -  iron or steel,"7324",Heading
624,bidets - plastic,"3922",Heading
625,bile,"0510",Heading
626,bill hooks,"8201",Heading
627,billiard tables,"9504",Heading
628,bimli jute,"5303",Heading
629,bimlipatam,"5303",Heading
630,binders -  of paper or paperboard,"4820",Heading
631,binders - of plastic,"3926",Heading
632,bindings machines- agricultural,"8433",Heading
633,bindings machines- book ,"8440",Heading
634,"binoculars, refracting ","9005",Heading
635,bins - storage (furniture),"9402",Heading
636,bins wastepaper,"3926",Heading
637,biodiesel,"3824",Heading
638,biodiesel blended with petrol,"3824",Heading
639,birds skins and other parts of birds with their feathers or down (other than goods of 05.05),"6701",Heading
640,birds (other than poultry),"0106",Heading
641,birthday cards,"4909",Heading
642,biscuits,"1905",Heading
643,biscuits covered in chocolate,"1905",Heading
644,"bismuth, metal","8106",Heading
645,"bits, drilling","8207",Heading
646,"bitumen, natural","2714",Heading
647,"bitumen, petroleum","2713",Heading
648,bituminous - asphalts (manufactured and emulsions,"2715",Heading
649,"bituminous - mineral oils, crude","2709",Heading
650,bituminous - mixtures and mastics,"2715",Heading
651,bituminous - paints,"3210",Heading
652,bituminous - shale,"2714",Heading
653,"black , animal","3802",Heading
654,blackboards (computerised,"8471",Heading
655,"bladders, animal","0504",Heading
656,"bladders, fish","0511",Heading
